"Common Name","Scientific Name","Long-term Analysis","Current change Analysis","Endemic Region","Significant - Indian Context","Not Relevant - Indian Context","Breeding Activity Period","Non Breeding Activity Period","Selected - SOIB"
"Nepal Fulvetta","Alcippe nipalensis","X","X","None","","","Diurnal","Diurnal","X"
"Striated Laughingthrush","Grammatoptila striata","X","X","Himalayas","","","Diurnal","Diurnal","X"
"Himalayan Cutia","Cutia nipalensis","","","None","","","Diurnal","Diurnal",""
"Scaly Laughingthrush","Trochalopteron subunicolor","","","None","","","Diurnal","Diurnal",""
"Brown-capped Laughingthrush","Trochalopteron austeni","","","Eastern Himalayas","","X","Diurnal","Diurnal",""
"Blue-winged Laughingthrush","Trochalopteron squamatum","","X","Eastern Himalayas","","","Diurnal","Diurnal","X"
"Streaked Laughingthrush","Trochalopteron lineatum","X","X","Himalayas","","","Diurnal","Diurnal","X"
"Bhutan Laughingthrush","Trochalopteron imbricatum","","X","Eastern Himalayas","","","Diurnal","Diurnal","X"
"Striped Laughingthrush","Trochalopteron virgatum","","","Eastern Himalayas","","","Diurnal","Diurnal","X"
"Variegated Laughingthrush","Trochalopteron variegatum","X","X","Himalayas","","","Diurnal","Diurnal","X"
"Black-faced Laughingthrush","Trochalopteron affine","","","None","","","Diurnal","Diurnal",""
"Elliot's Laughingthrush","Trochalopteron elliotii","","","None","","X","Diurnal","Diurnal",""
"Chestnut-crowned Laughingthrush","Trochalopteron erythrocephalum","X","X","Himalayas","","","Diurnal","Diurnal","X"
"Assam Laughingthrush","Trochalopteron chrysopterum","","","Eastern Himalayas","","","Diurnal","Diurnal","X"
"Banasura Laughingthrush","Montecincla jerdoni","","","Western Ghats","","","Diurnal","Diurnal","X"
"Nilgiri Laughingthrush","Montecincla cachinnans","X","X","Western Ghats","","","Diurnal","Diurnal","X"
"Palani Laughingthrush","Montecincla fairbanki","X","X","Western Ghats","","","Diurnal","Diurnal","X"
"Ashambu Laughingthrush","Montecincla meridionalis","","","Western Ghats","","","Diurnal","Diurnal","X"
"Long-tailed Sibia","Heterophasia picaoides","","","None","","","Diurnal","Diurnal",""
"Rufous Sibia","Heterophasia capistrata","X","X","Himalayas","","","Diurnal","Diurnal","X"
"Beautiful Sibia","Heterophasia pulchella","","X","Eastern Himalayas","","","Diurnal","Diurnal","X"
"Grey Sibia","Heterophasia gracilis","","","Eastern Himalayas","","","Diurnal","Diurnal","X"
"Hoary-throated Barwing","Actinodura nipalensis","X","X","Eastern Himalayas","","","Diurnal","Diurnal","X"
"Streak-throated Barwing","Actinodura waldeni","","","Eastern Himalayas","","","Diurnal","Diurnal","X"
"Blue-winged Minla","Actinodura cyanouroptera","X","X","None","","","Diurnal","Diurnal","X"
"Chestnut-tailed Minla","Actinodura strigula","X","X","None","","","Diurnal","Diurnal","X"
"Rusty-fronted Barwing","Actinodura egertoni","","X","Eastern Himalayas","","","Diurnal","Diurnal","X"
"Red-billed Leiothrix","Leiothrix lutea","X","X","None","","","Diurnal","Diurnal","X"
"Silver-eared Mesia","Leiothrix argentauris","","X","None","","","Diurnal","Diurnal","X"
"Red-tailed Minla","Minla ignotincta","","X","None","","","Diurnal","Diurnal","X"
"Rufous-backed Sibia","Leioptila annectens","","","None","","","Diurnal","Diurnal",""
"Bugun Liocichla","Liocichla bugunorum","","","Eastern Himalayas","","","Diurnal","Diurnal","X"
"Red-faced Liocichla","Liocichla phoenicea","","X","None","","","Diurnal","Diurnal","X"
"Large Grey Babbler","Argya malcolmi","X","X","Indian Subcontinent","","","Diurnal","Diurnal","X"
"Slender-billed Babbler","Argya longirostris","","","Indian Subcontinent","X","","Diurnal","Diurnal","X"
"Rufous Babbler","Argya subrufa","X","X","Western Ghats","","","Diurnal","Diurnal","X"
"Jungle Babbler","Argya striata","X","X","Indian Subcontinent","","","Diurnal","Diurnal","X"
"Yellow-billed Babbler","Argya affinis","X","X","Indian Subcontinent","","","Diurnal","Diurnal","X"
"Common Babbler","Argya caudata","X","X","Indian Subcontinent","","","Diurnal","Diurnal","X"
"Striated Babbler","Argya earlei","X","X","None","","","Diurnal","Diurnal","X"
"Spot-breasted Laughingthrush","Garrulax merulinus","","","Eastern Himalayas","","","Diurnal","Diurnal","X"
"Lesser Necklaced Laughingthrush","Garrulax monileger","","X","None","","","Diurnal","Diurnal","X"
"White-crested Laughingthrush","Garrulax leucolophus","X","X","None","","","Diurnal","Diurnal","X"
"Rufous-chinned Laughingthrush","Ianthocincla rufogularis","","X","Himalayas","","","Diurnal","Diurnal","X"
"Moustached Laughingthrush","Ianthocincla cineracea","","","Eastern Himalayas","","X","Diurnal","Diurnal",""
"Spotted Laughingthrush","Ianthocincla ocellata","","","None","","","Diurnal","Diurnal",""
"Wayanad Laughingthrush","Pterorhinus delesserti","","","Western Ghats","","","Diurnal","Diurnal","X"
"Rufous-vented Laughingthrush","Pterorhinus gularis","","","Eastern Himalayas","","","Diurnal","Diurnal","X"
"Yellow-throated Laughingthrush","Pterorhinus galbanus","","","Eastern Himalayas","","","Diurnal","Diurnal","X"
"Rufous-necked Laughingthrush","Pterorhinus ruficollis","","X","None","","","Diurnal","Diurnal","X"
"Chestnut-backed Laughingthrush","Pterorhinus nuchalis","","","Eastern Himalayas","","","Diurnal","Diurnal","X"
"White-browed Laughingthrush","Pterorhinus sannio","","","None","","X","Diurnal","Diurnal",""
"Greater Necklaced Laughingthrush","Pterorhinus pectoralis","X","X","None","","","Diurnal","Diurnal","X"
"Mount Victoria Babax","Pterorhinus woodi","","","None","","X","Diurnal","Diurnal",""
"White-throated Laughingthrush","Pterorhinus albogularis","X","X","None","","","Diurnal","Diurnal","X"
"Grey-sided Laughingthrush","Pterorhinus caerulatus","","","Eastern Himalayas","","","Diurnal","Diurnal","X"
"Goldcrest","Regulus regulus","","X","None","","","Diurnal","Diurnal","X"
"Wallcreeper","Tichodroma muraria","X","X","None","X","","Diurnal","Diurnal","X"
"Indian Nuthatch","Sitta castanea","X","X","Indian Subcontinent","","","Diurnal","Diurnal","X"
"Chestnut-bellied Nuthatch","Sitta cinnamoventris","X","X","None","","","Diurnal","Diurnal","X"
"Chestnut-vented Nuthatch","Sitta nagaensis","","","None","","","Diurnal","Diurnal",""
"Kashmir Nuthatch","Sitta cashmirensis","","","Western Himalayas","","","Diurnal","Diurnal","X"
"White-tailed Nuthatch","Sitta himalayensis","X","X","Himalayas","","","Diurnal","Diurnal","X"
"White-cheeked Nuthatch","Sitta leucopsis","","","Western Himalayas","","","Diurnal","Diurnal","X"
"Yunnan Nuthatch","Sitta yunnanensis","","","None","","X","Diurnal","Diurnal",""
"Velvet-fronted Nuthatch","Sitta frontalis","X","X","None","","","Diurnal","Diurnal","X"
"Beautiful Nuthatch","Sitta formosa","","","None","","","Diurnal","Diurnal",""
"Hodgson's Treecreeper","Certhia hodgsoni","","X","None","","","Diurnal","Diurnal","X"
"Bar-tailed Treecreeper","Certhia himalayana","X","X","None","","","Diurnal","Diurnal","X"
"Rusty-flanked Treecreeper","Certhia nipalensis","","","Himalayas","","","Diurnal","Diurnal","X"
"Sikkim Treecreeper","Certhia discolor","","","Himalayas","","","Diurnal","Diurnal","X"
"Hume's Treecreeper","Certhia manipurensis","","","None","","X","Diurnal","Diurnal",""
"Indian Spotted Creeper","Salpornis spilonota","","","Central India","","","Diurnal","Diurnal","X"
"Eurasian Wren","Troglodytes troglodytes","X","X","None","","","Diurnal","Diurnal","X"
"Spotted Elachura","Elachura formosa","","X","None","","","Diurnal","Diurnal","X"
"White-throated Dipper","Cinclus cinclus","","X","None","","","Diurnal","Diurnal","X"
"Brown Dipper","Cinclus pallasii","X","X","None","","","Diurnal","Diurnal","X"
"Asian Glossy Starling","Aplonis panayensis","","","None","","X","Diurnal","Diurnal",""
"Golden-crested Myna","Ampeliceps coronatus","","","None","","X","Diurnal","Diurnal",""
"Common Hill Myna","Gracula religiosa","X","X","None","","","Diurnal","Diurnal","X"
"Southern Hill Myna","Gracula indica","X","X","Western Ghats & Sri Lanka","","","Diurnal","Diurnal","X"
"Common Starling","Sturnus vulgaris","X","X","None","","","Diurnal","Diurnal","X"
"Rosy Starling","Pastor roseus","X","X","None","","","Diurnal","Diurnal","X"
"Daurian Starling","Agropsar sturninus","","","None","","X","Diurnal","Diurnal",""
"Chestnut-cheeked Starling","Agropsar philippensis","","","None","","X","Diurnal","Diurnal",""
"Asian Pied Starling","Gracupica contra","X","X","None","","","Diurnal","Diurnal","X"
"Brahminy Starling","Sturnia pagodarum","X","X","None","","","Diurnal","Diurnal","X"
"Chestnut-tailed Starling","Sturnia malabarica","X","X","None","","","Diurnal","Diurnal","X"
"Malabar Starling","Sturnia blythii","","X","Western Ghats","","","Diurnal","Diurnal","X"
"White-headed Starling","Sturnia erythropygia","","X","Andaman and Nicobar Islands","","","Diurnal","Diurnal","X"
"Red-billed Starling","Spodiopsar sericeus","","","None","","X","Diurnal","Diurnal",""
"White-cheeked Starling","Spodiopsar cineraceus","","","None","","X","Diurnal","Diurnal",""
"Common Myna","Acridotheres tristis","X","X","None","","","Diurnal","Diurnal","X"
"Bank Myna","Acridotheres ginginianus","X","X","Indian Subcontinent","","","Diurnal","Diurnal","X"
"Jungle Myna","Acridotheres fuscus","X","X","None","","","Diurnal","Diurnal","X"
"Collared Myna","Acridotheres albocinctus","","","None","","X","Diurnal","Diurnal",""
"Great Myna","Acridotheres grandis","","X","None","","","Diurnal","Diurnal","X"
"Spot-winged Starling","Saroglossa spilopterus","","X","None","","","Diurnal","Diurnal","X"
"Grandala","Grandala coelicolor","","","None","","","Diurnal","Diurnal",""
"Long-tailed Thrush","Zoothera dixoni","","X","None","","","Diurnal","Diurnal","X"
"Alpine Thrush","Zoothera mollissima","","X","None","","","Diurnal","Diurnal","X"
"Himalayan Forest Thrush","Zoothera salimalii","","","None","","","Diurnal","Diurnal",""
"Dark-sided Thrush","Zoothera marginata","","","Himalayas","","","Diurnal","Diurnal","X"
"Long-billed Thrush","Zoothera monticola","","","Himalayas","","","Diurnal","Diurnal","X"
"Scaly Thrush","Zoothera dauma","X","X","None","","","Diurnal","Diurnal","X"
"Nilgiri Thrush","Zoothera neilgherriensis","","X","Western Ghats","","","Diurnal","Diurnal","X"
"Purple Cochoa","Cochoa purpurea","","","None","X","","Diurnal","Diurnal","X"
"Green Cochoa","Cochoa viridis","","","None","","","Diurnal","Diurnal",""
"Siberian Thrush","Geokichla sibirica","","","None","","X","Diurnal","Diurnal",""
"Pied Thrush","Geokichla wardii","","","Indian Subcontinent","","","Diurnal","Diurnal","X"
"Orange-headed Thrush","Geokichla citrina","X","X","None","","","Diurnal","Diurnal","X"
"Chinese Thrush","Otocichla mupinensis","","","None","","X","Diurnal","Diurnal",""
"Mistle Thrush","Turdus viscivorus","","X","None","","","Diurnal","Diurnal","X"
"Song Thrush","Turdus philomelos","","","None","","X","24 hour","Diurnal",""
"Chinese Blackbird","Turdus mandarinus","","","None","","X","24 hour","Diurnal",""
"Grey-winged Blackbird","Turdus boulboul","X","X","None","","","Diurnal","Diurnal","X"
"Indian Blackbird","Turdus simillimus","X","X","Indian Subcontinent","","","Diurnal","Diurnal","X"
"Japanese Thrush","Turdus cardis","","","None","","X","Diurnal","Diurnal",""
"Tickell's Thrush","Turdus unicolor","X","X","Indian Subcontinent","","","Diurnal","Diurnal","X"
"Black-breasted Thrush","Turdus dissimilis","","","None","","","Diurnal","Diurnal",""
"Grey-sided Thrush","Turdus feae","","","None","","X","Diurnal","Diurnal",""
"Eyebrowed Thrush","Turdus obscurus","","","None","","","24 hour","Diurnal",""
"Kessler's Thrush","Turdus kessleri","","","None","","X","Diurnal","Diurnal",""
"Tibetan Blackbird","Turdus maximus","","","Himalayas","","","Diurnal","Diurnal","X"
"Fieldfare","Turdus pilaris","","","None","","X","Diurnal","Diurnal",""
"White-collared Blackbird","Turdus albocinctus","X","X","Himalayas","","","Diurnal","Diurnal","X"
"Chestnut Thrush","Turdus rubrocanus","","X","None","","","Diurnal","Diurnal","X"
"Black-throated Thrush","Turdus atrogularis","","X","None","","","Diurnal","Diurnal","X"
"Red-throated Thrush","Turdus ruficollis","","","None","","","Diurnal","Diurnal",""
"Dusky Thrush","Turdus eunomus","","","None","","","Diurnal","Diurnal",""
"Naumann's Thrush","Turdus naumanni","","","None","","X","Diurnal","Diurnal",""
"Dark-sided Flycatcher","Muscicapa sibirica","X","X","None","","","Diurnal","Diurnal","X"
"Ferruginous Flycatcher","Muscicapa ferruginea","","","None","","","Diurnal","Diurnal",""
"Asian Brown Flycatcher","Muscicapa dauurica","X","X","None","","","Diurnal","Diurnal","X"
"Brown-breasted Flycatcher","Muscicapa muttui","X","X","None","","","Diurnal","Diurnal","X"
"Spotted Flycatcher","Muscicapa striata","","","None","","","Diurnal","Diurnal",""
"Rufous-tailed Scrub Robin","Cercotrichas galactotes","","","None","","","Diurnal","Diurnal",""
"Indian Robin","Copsychus fulicatus","X","X","Indian Subcontinent","","","Diurnal","Diurnal","X"
"Oriental Magpie Robin","Copsychus saularis","X","X","None","","","Diurnal","Diurnal","X"
"White-rumped Shama","Copsychus malabaricus","X","X","None","","","Diurnal","Diurnal","X"
"Andaman Shama","Copsychus albiventris","","X","Andaman Islands","","","Diurnal","Diurnal","X"
"White-gorgeted Flycatcher","Anthipes monileger","","","None","","","Diurnal","Diurnal",""
"Nilgiri Sholakili","Sholicola major","","X","Western Ghats","","","Diurnal","Diurnal","X"
"White-bellied Sholakili","Sholicola albiventris","X","X","Western Ghats","","","Diurnal","Diurnal","X"
"White-tailed Blue Flycatcher","Cyornis concretus","","","None","","","Diurnal","Diurnal",""
"White-bellied Blue Flycatcher","Cyornis pallidipes","X","X","Western Ghats","","","Diurnal","Diurnal","X"
"Pale-chinned Flycatcher","Cyornis poliogenys","","X","None","","","Diurnal","Diurnal","X"
"Pale Blue Flycatcher","Cyornis unicolor","","X","None","","","Diurnal","Diurnal","X"
"Blue-throated Flycatcher","Cyornis rubeculoides","X","X","None","","","Diurnal","Diurnal","X"
"Large Blue Flycatcher","Cyornis magnirostris","","","None","X","","Diurnal","Diurnal","X"
"Hill Blue Flycatcher","Cyornis banyumas","","","None","","X","Diurnal","Diurnal",""
"Tickell's Blue Flycatcher","Cyornis tickelliae","X","X","Indian Subcontinent","","","Diurnal","Diurnal","X"
"Nicobar Jungle Flycatcher","Cyornis nicobaricus","","","Nicobar Islands","","","Diurnal","Diurnal","X"
"Large Niltava","Niltava grandis","","X","None","","","Diurnal","Diurnal","X"
"Small Niltava","Niltava macgrigoriae","X","X","None","","","Diurnal","Diurnal","X"
"Rufous-bellied Niltava","Niltava sundara","X","X","None","","","Diurnal","Diurnal","X"
"Vivid Niltava","Niltava vivida","","","None","","X","Diurnal","Diurnal",""
"Blue-and-white Flycatcher","Cyanoptila cyanomelana","","","None","","X","Diurnal","Diurnal",""
"Zappey's Flycatcher","Cyanoptila cumatilis","","","None","","X","Diurnal","Diurnal",""
"Nilgiri Flycatcher","Eumyias albicaudatus","","","Western Ghats","","","Diurnal","Diurnal","X"
"Verditer Flycatcher","Eumyias thalassinus","X","X","None","","","Diurnal","Diurnal","X"
"Rusty-bellied Shortwing","Brachypteryx hyperythra","","","Eastern Himalayas","","","Diurnal","Diurnal","X"
"Gould's Shortwing","Heteroxenicus stellatus","","","Eastern Himalayas","","","Diurnal","Diurnal","X"
"Lesser Shortwing","Brachypteryx leucophris","","X","None","","","Diurnal","Diurnal","X"
"Himalayan Shortwing","Brachypteryx cruralis","","","None","","","Diurnal","Diurnal",""
"Indian Blue Robin","Larvivora brunnea","X","X","None","","","Diurnal","Diurnal","X"
"Siberian Blue Robin","Larvivora cyane","","","None","","X","Diurnal","Diurnal",""
"White-bellied Redstart","Luscinia phaenicuroides","","","None","","","Diurnal","Diurnal",""
"Bluethroat","Luscinia svecica","X","X","None","","","Diurnal","Diurnal","X"
"Malabar Whistling Thrush","Myophonus horsfieldii","X","X","Mainland India","","","Diurnal","Diurnal","X"
"Blue Whistling Thrush","Myophonus caeruleus","X","X","None","","","Diurnal","Diurnal","X"
"Little Forktail","Enicurus scouleri","X","X","None","","","Diurnal","Diurnal","X"
"White-crowned Forktail","Enicurus leschenaulti","","","None","","","Diurnal","Diurnal",""
"Spotted Forktail","Enicurus maculatus","X","X","None","","","Diurnal","Diurnal","X"
"Black-backed Forktail","Enicurus immaculatus","X","X","None","","","Diurnal","Diurnal","X"
"Slaty-backed Forktail","Enicurus schistaceus","","X","None","","","Diurnal","Diurnal","X"
"Firethroat","Calliope pectardens","","","None","","X","Diurnal","Diurnal",""
"Siberian Rubythroat","Calliope calliope","","X","None","","","Diurnal","Diurnal","X"
"Himalayan Rubythroat","Calliope pectoralis","","X","None","X","","Diurnal","Diurnal","X"
"Chinese Rubythroat","Calliope tschebaiewi","","","None","X","","Diurnal","Diurnal","X"
"White-tailed Robin","Myiomela leucura","","X","None","","","Diurnal","Diurnal","X"
"Blue-fronted Robin","Cinclidium frontale","","","None","X","","Diurnal","Diurnal","X"
"Red-flanked Bush Robin","Tarsiger cyanurus","","","None","","X","Diurnal","Diurnal",""
"Himalayan Bush Robin","Tarsiger rufilatus","X","X","None","","","Diurnal","Diurnal","X"
"Rufous-breasted Bush Robin","Tarsiger hyperythrus","","","Himalayas","","","Diurnal","Diurnal","X"
"White-browed Bush Robin","Tarsiger indicus","","","None","","","Diurnal","Diurnal",""
"Golden Bush Robin","Tarsiger chrysaeus","X","X","None","","","Diurnal","Diurnal","X"
"Yellow-rumped Flycatcher","Ficedula zanthopygia","","","None","","X","Diurnal","Diurnal",""
"Mugimaki Flycatcher","Ficedula mugimaki","","","None","","X","Diurnal","Diurnal",""
"Slaty-backed Flycatcher","Ficedula erithacus","","","None","","","Diurnal","Diurnal",""
"Black-and-orange Flycatcher","Ficedula nigrorufa","","","Western Ghats","","","Diurnal","Diurnal","X"
"Slaty-blue Flycatcher","Ficedula tricolor","X","X","None","","","Diurnal","Diurnal","X"
"Snowy-browed Flycatcher","Ficedula hyperythra","","X","None","","","Diurnal","Diurnal","X"
"Pygmy Blue Flycatcher","Ficedula hodgsoni","","X","None","","","Diurnal","Diurnal","X"
"Rufous-gorgeted Flycatcher","Ficedula strophiata","X","X","None","","","Diurnal","Diurnal","X"
"Sapphire Flycatcher","Ficedula sapphira","","X","None","","","Diurnal","Diurnal","X"
"Little Pied Flycatcher","Ficedula westermanni","X","X","None","","","Diurnal","Diurnal","X"
"Ultramarine Flycatcher","Ficedula superciliaris","X","X","None","","","Diurnal","Diurnal","X"
"Rusty-tailed Flycatcher","Ficedula ruficauda","X","X","None","X","","Diurnal","Diurnal","X"
"Taiga Flycatcher","Ficedula albicilla","","","None","","","Diurnal","Diurnal",""
"Kashmir Flycatcher","Ficedula subrubra","","","Indian Subcontinent","","","Diurnal","Diurnal","X"
"Red-breasted Flycatcher","Ficedula parva","X","X","None","","","Diurnal","Diurnal","X"
"Blue-fronted Redstart","Phoenicurus frontalis","X","X","None","","","Diurnal","Diurnal","X"
"Plumbeous Water Redstart","Phoenicurus fuliginosus","X","X","None","","","Diurnal","Diurnal","X"
"Eversmann's Redstart","Phoenicurus erythronotus","","","None","","X","Diurnal","Diurnal",""
"White-capped Redstart","Phoenicurus leucocephalus","X","X","None","","","Diurnal","Diurnal","X"
"Blue-capped Redstart","Phoenicurus coeruleocephala","X","X","None","","","Diurnal","Diurnal","X"
"Common Redstart","Phoenicurus phoenicurus","","","None","","X","Diurnal","Diurnal",""
"Hodgson's Redstart","Phoenicurus hodgsoni","","X","None","","","Diurnal","Diurnal","X"
"White-throated Redstart","Phoenicurus schisticeps","","","None","","","Diurnal","Diurnal",""
"White-winged Redstart","Phoenicurus erythrogastrus","","X","None","","","Diurnal","Diurnal","X"
"Black Redstart","Phoenicurus ochruros","X","X","None","","","Diurnal","Diurnal","X"
"Daurian Redstart","Phoenicurus auroreus","","X","None","","","Diurnal","Diurnal","X"
"Chestnut-bellied Rock Thrush","Monticola rufiventris","X","X","None","","","Diurnal","Diurnal","X"
"Blue-capped Rock Thrush","Monticola cinclorhyncha","X","X","None","","","Diurnal","Diurnal","X"
"Rufous-tailed Rock Thrush","Monticola saxatilis","","","None","","X","Diurnal","Diurnal",""
"Blue Rock Thrush","Monticola solitarius","X","X","None","","","Diurnal","Diurnal","X"
"Whinchat","Saxicola rubetra","","","None","","X","Diurnal","Diurnal",""
"Stoliczka's Bushchat","Saxicola macrorhynchus","","","Indian Subcontinent","","","Diurnal","Diurnal","X"
"Hodgson's Bushchat","Saxicola insignis","","","None","X","","Diurnal","Diurnal","X"
"Siberian Stonechat","Saxicola maurus","X","X","None","","","Diurnal","Diurnal","X"
"Siberian Stonechat","Saxicola maurus","","","None","","","Diurnal","Diurnal",""
"White-tailed Stonechat","Saxicola leucurus","","X","None","X","","Diurnal","Diurnal","X"
"Pied Bushchat","Saxicola caprata","X","X","None","","","Diurnal","Diurnal","X"
"Jerdon's Bushchat","Saxicola jerdoni","","","None","X","","Diurnal","Diurnal","X"
"Grey Bushchat","Saxicola ferreus","X","X","None","","","Diurnal","Diurnal","X"
"Northern Wheatear","Oenanthe oenanthe","","","None","","X","Diurnal","Diurnal",""
"Isabelline Wheatear","Oenanthe isabellina","X","X","None","","","Diurnal","Diurnal","X"
"Desert Wheatear","Oenanthe deserti","X","X","None","","","Diurnal","Diurnal","X"
"Pied Wheatear","Oenanthe pleschanka","","","None","","X","Diurnal","Diurnal",""
"Brown Rock Chat","Oenanthe fusca","X","X","Indian Subcontinent","","","Diurnal","Diurnal","X"
"Variable Wheatear","Oenanthe picata","X","X","None","","","Diurnal","Diurnal","X"
"Hume's Wheatear","Oenanthe albonigra","","","None","","X","Diurnal","Diurnal",""
"Finsch's Wheatear","Oenanthe finschii","","","None","","X","Diurnal","Diurnal",""
"Red-tailed Wheatear","Oenanthe chrysopygia","","","None","","","Diurnal","Diurnal",""
"Bohemian Waxwing","Bombycilla garrulus","","","None","","X","Diurnal","Diurnal",""
"Grey Hypocolius","Hypocolius ampelinus","","","None","","X","Diurnal","Diurnal",""
"Thick-billed Flowerpecker","Dicaeum agile","X","X","None","","","Diurnal","Diurnal","X"
"Yellow-vented Flowerpecker","Dicaeum chrysorrheum","","X","None","","","Diurnal","Diurnal","X"
"Yellow-bellied Flowerpecker","Dicaeum melanozanthum","","","None","","","Diurnal","Diurnal",""
"Pale-billed Flowerpecker","Dicaeum erythrorhynchos","X","X","Indian Subcontinent","","","Diurnal","Diurnal","X"
"Nilgiri Flowerpecker","Dicaeum concolor","X","X","Western Ghats","","","Diurnal","Diurnal","X"
"Plain Flowerpecker","Dicaeum minullum","","X","None","","","Diurnal","Diurnal","X"
"Andaman Flowerpecker","Dicaeum virescens","","X","Andaman Islands","","","Diurnal","Diurnal","X"
"Fire-breasted Flowerpecker","Dicaeum ignipectus","X","X","None","","","Diurnal","Diurnal","X"
"Scarlet-backed Flowerpecker","Dicaeum cruentatum","X","X","None","","","Diurnal","Diurnal","X"
"Ruby-cheeked Sunbird","Chalcoparia singalensis","","X","None","","","Diurnal","Diurnal","X"
"Purple-rumped Sunbird","Leptocoma zeylonica","X","X","Indian Subcontinent","","","Diurnal","Diurnal","X"
"Crimson-backed Sunbird","Leptocoma minima","X","X","Western Ghats","","","Diurnal","Diurnal","X"
"Van Hasselt's Sunbird ","Leptocoma brasiliana","","","None","","X","Diurnal","Diurnal",""
"Purple Sunbird","Cinnyris asiaticus","X","X","None","","","Diurnal","Diurnal","X"
"Olive-backed Sunbird","Cinnyris jugularis","","","None","","","Diurnal","Diurnal",""
"Loten's Sunbird","Cinnyris lotenius","X","X","Indian Subcontinent","","","Diurnal","Diurnal","X"
"Fire-tailed Sunbird","Aethopyga ignicauda","","X","None","","","Diurnal","Diurnal","X"
"Black-throated Sunbird","Aethopyga saturata","X","X","None","","","Diurnal","Diurnal","X"
"Mrs Gould's Sunbird","Aethopyga gouldiae","X","X","None","","","Diurnal","Diurnal","X"
"Green-tailed Sunbird","Aethopyga nipalensis","X","X","None","","","Diurnal","Diurnal","X"
"Vigors's Sunbird","Aethopyga vigorsii","","X","Western Ghats","","","Diurnal","Diurnal","X"
"Crimson Sunbird","Aethopyga siparaja","X","X","None","","","Diurnal","Diurnal","X"
"Little Spiderhunter","Arachnothera longirostra","X","X","None","","","Diurnal","Diurnal","X"
"Streaked Spiderhunter","Arachnothera magna","X","X","None","","","Diurnal","Diurnal","X"
"Asian Fairy-bluebird","Irena puella","X","X","None","","","Diurnal","Diurnal","X"
"Blue-winged Leafbird","Chloropsis cochinchinensis","","X","None","X","","Diurnal","Diurnal","X"
"Jerdon's Leafbird","Chloropsis jerdoni","X","X","Indian Subcontinent","","","Diurnal","Diurnal","X"
"Golden-fronted Leafbird","Chloropsis aurifrons","X","X","None","","","Diurnal","Diurnal","X"
"Orange-bellied Leafbird","Chloropsis hardwickii","X","X","None","","","Diurnal","Diurnal","X"
"Streaked Weaver","Ploceus manyar","X","X","None","X","","Diurnal","Diurnal","X"
"Baya Weaver","Ploceus philippinus","X","X","None","","","Diurnal","Diurnal","X"
"Finn's Weaver","Ploceus megarhynchus","","","Indian Subcontinent","","","Diurnal","Diurnal","X"
"Black-breasted Weaver","Ploceus benghalensis","X","X","Indian Subcontinent","","","Diurnal","Diurnal","X"
"Indian Silverbill","Euodice malabarica","X","X","None","","","Diurnal","Diurnal","X"
"Scaly-breasted Munia","Lonchura punctulata","X","X","None","","","Diurnal","Diurnal","X"
"Black-throated Munia","Lonchura kelaarti","X","X","Indian Subcontinent","","","Diurnal","Diurnal","X"
"White-rumped Munia","Lonchura striata","X","X","None","","","Diurnal","Diurnal","X"
"Tricoloured Munia","Lonchura malacca","X","X","Indian Subcontinent","","","Diurnal","Diurnal","X"
"Chestnut Munia","Lonchura atricapilla","","","None","","","Diurnal","Diurnal",""
"Green Munia","Amandava formosa","","X","Central India","","","Diurnal","Diurnal","X"
"Red Munia","Amandava amandava","X","X","None","","","Diurnal","Diurnal","X"
"Alpine Accentor","Prunella collaris","","X","None","","","Diurnal","Diurnal","X"
"Altai Accentor","Prunella himalayana","","","None","","","Diurnal","Diurnal",""
"Robin Accentor","Prunella rubeculoides","","X","None","","","Diurnal","Diurnal","X"
"Rufous-breasted Accentor","Prunella strophiata","X","X","None","","","Diurnal","Diurnal","X"
"Brown Accentor","Prunella fulvescens","","X","None","","","Diurnal","Diurnal","X"
"Black-throated Accentor","Prunella atrogularis","","X","None","","","Diurnal","Diurnal","X"
"Maroon-backed Accentor","Prunella immaculata","","","None","","","Diurnal","Diurnal",""
"House Sparrow","Passer domesticus","X","X","None","","","Diurnal","Diurnal","X"
"Spanish Sparrow","Passer hispaniolensis","","","None","","X","Diurnal","Diurnal",""
"Sind Sparrow","Passer pyrrhonotus","","X","Indus Plains","","","Diurnal","Diurnal","X"
"Russet Sparrow","Passer cinnamomeus","X","X","None","","","Diurnal","Diurnal","X"
"Eurasian Tree Sparrow","Passer montanus","X","X","None","","","Diurnal","Diurnal","X"
"Yellow-throated Sparrow","Gymnoris xanthocollis","X","X","None","","","Diurnal","Diurnal","X"
"Rock Sparrow","Petronia petronia","","","None","","X","Diurnal","Diurnal",""
"Pale Rockfinch","Carpospiza brachydactyla","","","None","","X","Diurnal","Diurnal",""
"Black-winged Snowfinch","Montifringilla adamsi","","","None","","","Diurnal","Diurnal",""
"White-rumped Snowfinch","Onychostruthus taczanowskii","","","None","","X","Diurnal","Diurnal",""
"Rufous-necked Snowfinch","Pyrgilauda ruficollis","","","None","","X","Diurnal","Diurnal",""
"Blanford's Snowfinch","Pyrgilauda blanfordi","","","None","","X","Diurnal","Diurnal",""
"Forest Wagtail","Dendronanthus indicus","X","X","None","X","","Diurnal","Diurnal","X"
"Grey Wagtail","Motacilla cinerea","X","X","None","","","Diurnal","Diurnal","X"
